user,comment,clean_comment
@ridhokesuma21,udah monet channelnya bg?,udah monet channelnya bg
@yoris275,Anjay mantapp bangg😊😊😊😊,anjay mantapp bangg
@IlhamAinurohman-y6u,Buat back sound  lagi bkin layangan boskuu mantaap.. maju terus berkarya terus bosku slam dari sulawesi tenggara boss,buat back sound  lagi bkin layangan boskuu mantaap maju terus berkarya terus bosku slam dari sulawesi tenggara boss
@AFNindo,Biasanya tak buat lagu senam briefing pagi ini mantap bang biar tambah semangat pagi hari sebelum kerja,biasanya tak buat lagu senam briefing pagi ini mantap bang biar tambah semangat pagi hari sebelum kerja
@RobertoDosSantos-q3h,Gacor nii bang🎉,gacor nii bang
@RojinRojin-c1u,Enak banget djnya bang😊,enak banget djnya bang
@chikazz,teruskan lagu terbaik boskuu ada yng masa bik akan datang lebih berguna,teruskan lagu terbaik boskuu ada yng masa bik akan datang lebih berguna
@mellaniafitriani09,Mantap banget😊,mantap banget
@KadekMurni-g4j,Salam kak aku pengen di sapa sama anak loteng salam dari lobar ya,salam kak aku pengen di sapa sama anak loteng salam dari lobar ya
@KaiItoshi-n4w,mas ga mau di taro spotify kah? gacor banget sumpah soundnyaaa,mas ga mau di taro spotify kah gacor banget sumpah soundnyaaa
@Fami-z3l,Enak banget suaranya candu candu banget🎉🎉🎉🎉🎉🎉,enak banget suaranya candu candu banget
@zahraamira617,asikk bangg,asikk bangg
@Aditya-i6c2b,Gacor kali bang🎉,gacor kali bang
@DarrelAdli-n5i,Video musik DJ calon mantu terbaik kali ini bagus banget,video musik dj calon mantu terbaik kali ini bagus banget
@AfifRaditya-k1v,Toppp boskuwhhh🎉🎉❤❤,toppp boskuwhhh
@FloraRiatamba-p5w,menyala abangkuu rooooooooooorrrr,menyala abangkuu rooooooooooorrrr
@Misriyati23,Enak banget buat bersih bersih tambah semangat ❤🎉,enak banget buat bersih bersih tambah semangat 
@MetaAulia-w1f,Asik banget,asik banget
@Miaa16-r5l,Kane bangetttt njayyyy❤,kane bangetttt njayyyy
@Sanirida,candu bget njirrrr❤🎉🎉🎉😅 Thank you dj 🤤,candu bget njirrrr thank you dj 
@HamzahMohammed-n2t,Rt ini lagu apa,rt ini lagu apa
@BangunIkhwani,Gutouri❤lyiiout❤yo,gutourilyiioutyo
@MahmudJos,Adel❤meme❤alika❤alin❤sipa❤sang❤adara❤reta❤asira❤raga❤zagara❤zaka❤dezano❤yaza❤dimasi❤,adelmemealikaalinsipasangadararetaasiraragazagarazakadezanoyazadimasi
@AtikaPanjaitan-m8o,Mantap bang 💪😎💯🎉,mantap bang 
@20.nadyashafwah27,nitippp,nitippp
@VivoY91-v9b,Bagus😊😊😊😊😊😊😊😊,bagus
@VivoY91-v9b,😊😊,
@WongMatrix-th3jw,ngga sopan bang ngomong nya😢,ngga sopan bang ngomong nya
@MaulidiaAssija-jl1ox,❤,
@rishkaRISHKAikka,M,m
@GreenOrganik,its so good nice,its so good nice
@AzzamRaditya-c9i,mantaaap 😊😊,mantaaap 
@iyan-u5j,Asik banget bg,asik banget bg
@IrfangmingIrfangming,lagu ini aku cokk🎉🎉🎉,lagu ini aku cokk
@cipetirchannel4964,"Enk dijenyaaaaaa
😊","enk dijenyaaaaaa
"
@BambangBambang-r9i,Kren bro lagsung semangat kerja sambil putar musik nya🔥🔥,kren bro lagsung semangat kerja sambil putar musik nya
@FatirRahman-w9p,",iyadong emang mantap ya😊",iyadong emang mantap ya
@newaura-b1i,asik betttt,asik betttt
@Adri-xl5jm,Keren😮,keren
@Miraloli-m9h,Uhhhhh enak banget DJ nya wow,uhhhhh enak banget dj nya wow
@Kasfi-g1b5z,Mantap bang❤❤❤❤,mantap bang
@cipetirchannel4964,Wow enak di jenya👍👍👍👍,wow enak di jenya
@prayugodwipangestu,MANTAP BOS 😊😊😊😊😊,mantap bos 
@Rizkimaulana-l6o,Mantap gebas dan kenceng,mantap gebas dan kenceng
@TiaraTiara-l6d,Mantap kali lagunya bang 🎉,mantap kali lagunya bang 
@firmann10,Anjay mantafp bang,anjay mantafp bang
@foxtrotsix4391,Kane banget bang sukses selalu ⚡️😁,kane banget bang sukses selalu 
@adamkreezy4754,"Hidupp mahiru
Hidupp blondeee!!🎉","hidupp mahiru
hidupp blondeee"
@ZahraCantik-c7p,Mantap banget bos,mantap banget bos
@Wijiyanti-t5w,❤❤❤🎉🎉🎉😊😊😊suka sekali emang keren sekali lagunya boy,suka sekali emang keren sekali lagunya boy
@DarrelAdli-n5i,Musik DJ calon mantu terbaik kali ini bagus banget,musik dj calon mantu terbaik kali ini bagus banget
@NauraDelia-e9k,iya cui,iya cui
@mohdazrilmohdsolehim,❤,
@ArmanRossi,Masa,masa
@DarrelAdli6,Video musik DJ calon mantu terbaik mamamu kali ini enak sekali untuk didengarkan,video musik dj calon mantu terbaik mamamu kali ini enak sekali untuk didengarkan
@JOKOSwantoro,Enak banget udah bagus lagi lagunya bang vizi mantap  👍💦👹🥶😻,enak banget udah bagus lagi lagunya bang vizi mantap  
@NurmaFacey,Lagunya. Enak banget baaaaaaaaaaaaaang🎉🎉🎉❤,lagunya enak banget baaaaaaaaaaaaaang
@boneandi-d1u,gacor ❤❤❤❤,gacor 
@BundaAyah615,🎉 mantap🎉, mantap
@MarvinDion-n7i2j,keren bosku anjay lah,keren bosku anjay lah
@IwanFutrra7,Enak sekali lagunya bang semoga  ada yanglek semangat bikin kontenye🎉🎉🎉🎉🎉,enak sekali lagunya bang semoga  ada yanglek semangat bikin kontenye
@AdekLintang,Seterah aku aku calon mantu yang baik namamu patah hati dulu aku calon mantu dan baiknya kamu tahukah hatiku setelah aku aku calon menantu dengan baik namamu😊😊😊,seterah aku aku calon mantu yang baik namamu patah hati dulu aku calon mantu dan baiknya kamu tahukah hatiku setelah aku aku calon menantu dengan baik namamu
@juitaitajudee6550,Enak cuii lagunya🤙,enak cuii lagunya
@SadekAjja,Asik bangett lagu. nya k,asik bangett lagu nya k
@edisarwo7866,asik bgt🔥🔥,asik bgt
@NazrinnMiko,Pling mntp sd ni untuk ank c junaid jn lupa eat,pling mntp sd ni untuk ank c junaid jn lupa eat
@rifkajalal6489,LAMPU KAKAK🤗💓,lampu kakak
@Rahelaputriangraeni,Mantap lagu nya,mantap lagu nya
@dwianggraeni7323,MATAP BANG🤪🤪🤪🤙🤙🤙,matap bang
@KijangKeke,Bagusss,bagusss
@DablongTok,P apik keren,p apik keren
@NugrahaArta-x3y,enak Nye rooooooooooooooor,enak nye rooooooooooooooor
@MeiiPandengsolang,Menyala kali,menyala kali
@Phace-w4w,Caandduu bngt pg² denger lagu ini 🔥🎉,caandduu bngt pg denger lagu ini 
@ADRRADEN,😂 younglex, younglex
@DarrelAdli6,Selalu asik untuk didengarkan musik DJ calon mantu terbaik mamamu,selalu asik untuk didengarkan musik dj calon mantu terbaik mamamu
@PriyantiPrilijaya,Bejirr keren bangt👍👍,bejirr keren bangt
@LogaySaayana,Anjay asik,anjay asik
@fatasyalanihapsari2795,mantap,mantap
@JamiatiDuha,dj  pas,dj  pas
@farukfachrurrozi7145,Keren,keren
@Husnull15,Menyala abangku ❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊,menyala abangku 
@acilpratama8225,ini nih yang cari-cari 🤭🔥🔥🔥,ini nih yang caricari 
@papailias9246,Muantap,muantap
@ikamaylla1309,"Asem bang
❤❤❤❤❤❤❤🎉🎉🎉","asem bang
"
@kenyokusuma1622,❤❤❤,
@MANGNUM-l5t,sedap nyee,sedap nyee
@AlfinoAkbarArdhani,Anjayyyyyyyy,anjayyyyyyyy
@muhammadgunawan5803,🤘😋,
@AsrafRavel,iya teri makasih😊😊😊😊😊😊😊😊,iya teri makasih
@redekuy007,Gua stel buat backsound lomba kemarin,gua stel buat backsound lomba kemarin
@nailachedal962,Bagus banget lagu nya 😊😊,bagus banget lagu nya 
@AndraIndra-sl2ed,terimakasih,terimakasih
@AnitEryck-bl1is,Lucu banget❤,lucu banget
@DJNORIN,Izin meramaikan mas 🙏🏻,izin meramaikan mas 
@zybcaaaa,2:49 serasa di edit🗿,249 serasa di edit
