user,comment
@ridhokesuma21,udah monet channelnya bg?
@yoris275,Anjay mantapp bangg😊😊😊😊
@IlhamAinurohman-y6u,Buat back sound  lagi bkin layangan boskuu mantaap.. maju terus berkarya terus bosku slam dari sulawesi tenggara boss
@AFNindo,Biasanya tak buat lagu senam briefing pagi ini mantap bang biar tambah semangat pagi hari sebelum kerja
@RobertoDosSantos-q3h,Gacor nii bang🎉
@RojinRojin-c1u,Enak banget djnya bang😊
@chikazz,teruskan lagu terbaik boskuu ada yng masa bik akan datang lebih berguna
@mellaniafitriani09,Mantap banget😊
@KadekMurni-g4j,Salam kak aku pengen di sapa sama anak loteng salam dari lobar ya
@KaiItoshi-n4w,mas ga mau di taro spotify kah? gacor banget sumpah soundnyaaa
@Fami-z3l,Enak banget suaranya candu candu banget🎉🎉🎉🎉🎉🎉
@zahraamira617,asikk bangg
@Aditya-i6c2b,Gacor kali bang🎉
@DarrelAdli-n5i,Video musik DJ calon mantu terbaik kali ini bagus banget
@AfifRaditya-k1v,Toppp boskuwhhh🎉🎉❤❤
@FloraRiatamba-p5w,menyala abangkuu rooooooooooorrrr
@Misriyati23,Enak banget buat bersih bersih tambah semangat ❤🎉
@MetaAulia-w1f,Asik banget
@Miaa16-r5l,Kane bangetttt njayyyy❤
@Sanirida,candu bget njirrrr❤🎉🎉🎉😅 Thank you dj 🤤
@HamzahMohammed-n2t,Rt ini lagu apa
@BangunIkhwani,Gutouri❤lyiiout❤yo
@MahmudJos,Adel❤meme❤alika❤alin❤sipa❤sang❤adara❤reta❤asira❤raga❤zagara❤zaka❤dezano❤yaza❤dimasi❤
@AtikaPanjaitan-m8o,Mantap bang 💪😎💯🎉
@20.nadyashafwah27,nitippp
@VivoY91-v9b,Bagus😊😊😊😊😊😊😊😊
@VivoY91-v9b,😊😊
@WongMatrix-th3jw,ngga sopan bang ngomong nya😢
@MaulidiaAssija-jl1ox,❤
@rishkaRISHKAikka,M
@GreenOrganik,its so good nice
@AzzamRaditya-c9i,mantaaap 😊😊
@iyan-u5j,Asik banget bg
@IrfangmingIrfangming,lagu ini aku cokk🎉🎉🎉
@cipetirchannel4964,"Enk dijenyaaaaaa
😊"
@BambangBambang-r9i,Kren bro lagsung semangat kerja sambil putar musik nya🔥🔥
@FatirRahman-w9p,",iyadong emang mantap ya😊"
@newaura-b1i,asik betttt
@Adri-xl5jm,Keren😮
@Miraloli-m9h,Uhhhhh enak banget DJ nya wow
@Kasfi-g1b5z,Mantap bang❤❤❤❤
@cipetirchannel4964,Wow enak di jenya👍👍👍👍
@prayugodwipangestu,MANTAP BOS 😊😊😊😊😊
@Rizkimaulana-l6o,Mantap gebas dan kenceng
@TiaraTiara-l6d,Mantap kali lagunya bang 🎉
@firmann10,Anjay mantafp bang
@foxtrotsix4391,Kane banget bang sukses selalu ⚡️😁
@adamkreezy4754,"Hidupp mahiru
Hidupp blondeee!!🎉"
@ZahraCantik-c7p,Mantap banget bos
@Wijiyanti-t5w,❤❤❤🎉🎉🎉😊😊😊suka sekali emang keren sekali lagunya boy
@DarrelAdli-n5i,Musik DJ calon mantu terbaik kali ini bagus banget
@NauraDelia-e9k,iya cui
@mohdazrilmohdsolehim,❤
@ArmanRossi,Masa
@DarrelAdli6,Video musik DJ calon mantu terbaik mamamu kali ini enak sekali untuk didengarkan
